ticker,name,country,mktcap_B,reason
005930.KS,Samsung,South Korea,1386.2,no EPS data
000660.KS,SK Hynix,South Korea,942.8,no EPS data
IHC.AE,International Holding Company,United Arab Emirates,233.2,no price data
005380.KS,Hyundai,South Korea,117.6,no EPS data
402340.KS,SK Square,South Korea,106.4,no EPS data
TAQA.AE,TAQA,United Arab Emirates,73.5,no price data
ADNOCGAS.AE,ADNOC Gas,United Arab Emirates,68.5,no price data
373220.KS,LG Energy Solution,South Korea,62.2,no EPS data
FAB.AE,First Abu Dhabi Bank,United Arab Emirates,49.3,no price data
028260.KS,Samsung C&T Corporation,South Korea,48.4,no EPS data
032830.KS,Samsung Life Insurance,South Korea,47.5,no EPS data
329180.KS,HD Hyundai Heavy Industries,South Korea,44.7,no EPS data
EAND.AE,Emirates Telecom (Etisalat Group),United Arab Emirates,44.3,no price data
GBTC,Grayscale Bitcoin Trust,United States,41.1,no EPS data
000270.KS,Kia,South Korea,40.2,no EPS data
012330.KS,Hyundai Mobis,South Korea,39.9,no EPS data
207940.KS,Samsung Biologics,South Korea,39.8,no EPS data
034020.KS,Doosan Enerbility,South Korea,39.2,no EPS data
066570.KS,LG Electronics,South Korea,34.9,no EPS data
012450.KS,Hanwha Aerospace,South Korea,34.6,no EPS data
AHT.L,Ashtead,United Kingdom,29.9,no price data
FISV,Fiserv,United States,29.0,no EPS data
009155.KS,Samsung Electro-Mechanics,South Korea,28.9,no EPS data
ADCB.AE,Abu Dhabi Commercial Bank (ADCB),United Arab Emirates,28.2,no price data
ML.PA,Michelin,France,26.4,no EPS data
068270.KS,Celltrion,South Korea,25.2,no EPS data
ADNOCDRILL.AE,ADNOC Drilling Company,United Arab Emirates,25.0,no price data
035420.KS,Naver,South Korea,24.5,no EPS data
AGNCL,AGNC Investment Corp. - Deposit,,,no EPS data
AGNCZ,AGNC Investment Corp. - Deposit,,,no EPS data
APOS,"Apollo Global Management, Inc. ",,,no EPS data
AQNB,Algonquin Power & Utilities Cor,,,no EPS data
BIPJ,Brookfield Infrastructure Corpo,,,no EPS data
BNH,Brookfield Finance Inc. 4.625% ,,,no EPS data
BNJ,Brookfield Finance Inc. 4.50% P,,,no EPS data
BPYPM,Brookfield Property Partners L.,,,no EPS data
BRKRP,Bruker Corporation - 6.375% Man,,,no EPS data
BTSGU,"BrightSpring Health Services, I",,,no EPS data
CCZ,Comcast Holdings ZONES,,,no EPS data
DUKB,Duke Energy Corporation 5.625% ,,,no EPS data
FITBM,Fifth Third Bancorp - Depositar,,,no EPS data
HBANL,Huntington Bancshares Incorpora,,,no EPS data
HBANZ,Huntington Bancshares Incorpora,,,no EPS data
KKRS,KKR Group Finance Co. IX LLC 4.,,,no EPS data
MCHPP,Microchip Technology Incorporat,,,no EPS data
ONBPO,Old National Bancorp - Deposita,,,no EPS data
PPLC,PPL Corporation Corporate,,,no EPS data
SOJC,Southern Company (The) Series 2,,,no EPS data
SOJD,Southern Company (The) Series 2,,,no EPS data
SOJE,Southern Company (The) Series 2,,,no EPS data
SOMN,Southern Company (The) 2025 Ser,,,no EPS data
SREA,DBA Sempra 5.750% Junior Subord,,,no EPS data
STRC,Strategy Inc - Variable Rate Se,,,no EPS data
STRD,Strategy Inc - 10.00% Series A ,,,no EPS data
STRF,Strategy Inc - 10.00% Series A ,,,no EPS data
STRK,Strategy Inc - 8.00% Series A P,,,no EPS data
TBB,AT&T Inc. 5.350% Global Notes d,,,no EPS data
VLYPN,Valley National Bancorp - 8.250,,,no EPS data
